t,cam,fps,bad_frames,kills,respawns,alive
1789801340,1,0.0,0,4,3,False
1789801340,2,0.0,0,3,3,True
1789801345,1,0.0,0,5,4,False
1789801345,2,0.0,0,4,4,True
1789801350,1,0.0,0,5,4,False
1789801350,2,0.0,0,5,4,False
1789801355,1,1.8,0,5,5,True
1789801355,2,0.0,0,6,5,False
1789801360,1,15.2,0,5,5,True
1789801360,2,0.0,0,6,5,False
1789801366,1,15.2,0,5,5,True
1789801366,2,0.0,0,7,6,False
1789801371,1,15.2,0,5,5,True
1789801371,2,0.0,0,7,6,False
1789801376,1,15.0,0,5,5,True
1789801376,2,0.0,0,8,7,False
1789801381,1,15.2,0,5,5,True
1789801381,2,0.0,0,8,7,False
1789801386,1,15.2,0,5,5,True
1789801386,2,0.0,0,9,8,False
1789801391,1,15.2,0,5,5,True
1789801391,2,0.0,0,9,9,True
1789801396,1,15.0,0,5,5,True
1789801396,2,0.0,0,9,9,False
1789801401,1,15.2,0,5,5,True
1789801401,2,0.0,0,10,10,False
1789801406,1,15.2,0,5,5,True
1789801406,2,0.0,0,10,10,False
1789801411,1,15.0,0,5,5,True
1789801411,2,0.0,0,11,11,False
1789801416,1,15.2,0,5,5,True
1789801416,2,0.0,0,11,11,False
1789801421,1,15.2,0,5,5,True
1789801421,2,0.0,0,12,12,False
1789801426,1,15.2,0,5,5,True
1789801426,2,0.0,0,12,13,True
1789801431,1,15.2,0,5,5,True
1789801431,2,0.0,0,12,13,False
1789801436,1,15.0,0,5,5,True
1789801436,2,0.0,0,12,14,False
1789801441,1,15.2,0,5,5,True
1789801441,2,0.0,0,12,14,False
1789801446,1,15.2,0,5,5,True
1789801446,2,0.0,0,13,15,False
1789801451,1,15.2,0,5,5,True
1789801451,2,0.0,0,13,15,False
1789801456,1,15.0,0,5,5,True
1789801456,2,0.0,0,14,16,False
1789801461,1,15.2,0,5,5,True
1789801461,2,0.0,0,14,17,True
1789801466,1,15.2,0,5,5,True
1789801466,2,0.0,0,15,17,False
1789801471,1,15.0,0,5,5,True
1789801471,2,0.0,0,16,18,False
1789801476,1,15.2,0,5,5,True
1789801476,2,0.0,0,16,18,False
1789801481,1,15.0,0,5,5,True
1789801481,2,0.0,0,17,19,False
1789801486,1,15.2,0,5,5,True
1789801486,2,0.0,0,17,19,False
1789801491,1,15.2,0,5,5,True
1789801491,2,0.0,0,18,20,False
1789801496,1,15.2,0,5,5,True
1789801496,2,0.0,0,18,20,False
1789801501,1,15.0,0,5,5,True
1789801501,2,0.0,0,19,21,False
1789801506,1,15.2,0,5,5,True
1789801506,2,0.0,0,19,22,True
1789801511,1,15.2,0,5,5,True
1789801511,2,0.0,0,20,22,False
1789801516,1,15.2,0,5,5,True
1789801516,2,0.0,0,21,23,False
1789801521,1,15.0,0,5,5,True
1789801521,2,0.0,0,21,23,False
1789801526,1,15.4,0,5,5,True
1789801526,2,0.0,0,22,24,False
1789801531,1,15.2,0,5,5,True
1789801531,2,0.0,0,22,24,False
1789801536,1,15.2,0,5,5,True
